WKI_WorkItemNumber,WKI_Status,WKI_Summary,WKI_SystemCreateTimeUtc,FH_CompletionStatement,P9_Status,P9_ActualDate,P9_Description,P9_Type,CodingTime,details,Classification,Explanation,product_area_raw,product_area_canonical,product_candidate,feature_description
WI00818184,CLS,CPW: ComplianceWise enabled by default and support only,17-10-2024 7:19,Publish,CLS,26-11-2024,Publish Update Note,DEP,24.66666667,"Background  https://wisetechglobal-my.sharepoint.com/:w:/p/karim_micheal/EURYE0Cc7-tHgrjxlANE8YgBrwVsvVc-MHh-Tdk7FbntUw?e=VP4P9x    Problem Summary  RW wants WTG to control the enablement of CPW on customer systems. We need to ensure only WTG can enable and disable ComplianceWise.     Alternative enablement solutions  There are currently two work items to ensure WTG controls the enablement of CPW that contain two different default enablement options:  Option 1 (this work item): ComplianceWise is enabled by default and visisble to support only  Option 2: HYPERLINK ""edient:Command=ShowEditForm&ControllerID=WorkItem&BusinessEntityPK=25df4f9e-5160-4f6b-9930-2109293ca242&VersionNumber=24.10.17.96&Domain=wtg.zone&Instance=ediProd&Hash=%2bfHsLr8pDW9rzQFvofVxKNeYufoJQVHC4"" WI00818073 - CPW: ComplianceWise disabled by default and support only (currently the preferred option for RW)   Option 3: HYPERLINK ""edient:Command=ShowEditForm&ControllerID=WorkItem&BusinessEntityPK=7d00f749-5906-4258-9b59-92ab74f65ea4&VersionNumber=24.11.13.50&Domain=wtg.zone&Instance=ediProd&Hash=%2bJorkS8CYLGl32TfpesdysfPMxIeE1lhz"" WI00809870 - CPW: ComplianceWise enabled by default on Forwarding modules (Was implemented for a while then rolled back)  Once confirmed which option we will go with, one of these work items will be cancelled and the preferred option will be checked in.     Product Changes  ComplianceWise (Master UPN) - https://wisetechacademy.com/search?quickstart=499d436e-b256-45e7-8f73-35fd2396c30a - Update   HYPERLINK ""edient:Command=ShowEditForm&ControllerID=WorkItem&BusinessEntityPK=35dd7974-da2b-466b-a551-ef973d323396&VersionNumber=24.10.17.96&Domain=wtg.zone&Instance=ediProd&Hash=%2b%2bdU80P5EBLN3KEK4R%2bcKsKGnjmdVtMR3"" WI00778739 - ComplianceWise customer facing update note   Updates here: https://wisetechglobal.sharepoint.com/:w:/s/DevelopmentROPETeam/ETDRAru70KNGnlA-_gefPIkBtlSqkqsZdwdIdibl8oOoPA?e=gulbPt (Page 79)  How do I enable ComplianceWise and how do I get support if I experience problems? - https://wisetechacademy.com/search?quickstart=63ee12df-da3e-4d7a-acb9-38c45aedda1c - Remove  How-to Transition to ComplianceWise from Denied Party Screening for jobs - https://wisetechacademy.com/search?quickstart=a4602976-ce39-434f-9a8d-befe2cff16f9 - Update   HYPERLINK ""edient:Command=ShowEditForm&ControllerID=WorkItem&BusinessEntityPK=da16cb0a-d91f-4aa1-8a1b-5d6c836232f7&VersionNumber=24.10.17.96&Domain=wtg.zone&Instance=ediProd&Hash=%2bDLd2GSXl6Upyemt9dGDyqb62O%2f5rq%2f4x"" WI00790507 - CPW: Customer facing How to transition guide and FAQs   Updates here: https://wisetechglobal.sharepoint.com/:w:/s/DevelopmentROPETeam/EQ6Lr-NCYv9GmegPIhuRALYBtS69_l_VZ00-OXovuf8H7Q?e=cIddBJ  How do I transition from Denied Party Screening to ComplianceWise? (FAQ) - https://wisetechacademy.com/search?quickstart=e325646b-52ec-4d25-aef6-21366e8e16ea - Modify   Remove: ""Note:  Once ComplianceWise is enabled it cannot be disabled on a module""  [REMOVED] ComplianceWise enabled by default for Forwarding Bookings, Shipments and Consolidations - https://wisetechacademy.com/search?quickstart=77bc9f68-fa7a-41bf-802d-62ebcebe66fb - Already removed   Re-release new version: https://wisetechglobal.sharepoint.com/:w:/s/DevelopmentROPETeam/EZQ4Sn2EGQVGgy8iZB5CSIIBhlkvJ0CPklOBr1An7s2iAA?e=uc3tyf    OQU 17-Oct-24 15:19 GMT+08:00:     DONE STATEMENT:    ComplianceWise is enabled by default on all customer systems     We have removed the customer’s ability to disable ComplianceWise on their systems     WTG support can disable ComplianceWise on DHL, Geodis systems where we have a contract commitment to them     Customers who have already chosen to disable, we will enable it     BWD 13-Nov-24 11:18 GMT+11:00:   Update  Andrew C (CEO) has requested ComplianceWise to be enabled for all customers.    Targets to have CPW enabled by default:  CargoWise Next  27th Nov 2024, DPR  Becomes GP1 on 5th Feb 2025  CargoWise One (tbc...)  Patchback to current STD v24.10.30  Becomes GP1 on 11th December 2024",major,New or updated regulatory framework,CPW,ComplianceWise,ComplianceWise enabled by default and support only,
WI00818184,CLS,CPW: ComplianceWise enabled by default and support only,17-10-2024 7:19,Publish,CLS,25-11-2024,Publish Update Note,DEP,24.66666667,"Background  https://wisetechglobal-my.sharepoint.com/:w:/p/karim_micheal/EURYE0Cc7-tHgrjxlANE8YgBrwVsvVc-MHh-Tdk7FbntUw?e=VP4P9x    Problem Summary  RW wants WTG to control the enablement of CPW on customer systems. We need to ensure only WTG can enable and disable ComplianceWise.     Alternative enablement solutions  There are currently two work items to ensure WTG controls the enablement of CPW that contain two different default enablement options:  Option 1 (this work item): ComplianceWise is enabled by default and visisble to support only  Option 2: HYPERLINK ""edient:Command=ShowEditForm&ControllerID=WorkItem&BusinessEntityPK=25df4f9e-5160-4f6b-9930-2109293ca242&VersionNumber=24.10.17.96&Domain=wtg.zone&Instance=ediProd&Hash=%2bfHsLr8pDW9rzQFvofVxKNeYufoJQVHC4"" WI00818073 - CPW: ComplianceWise disabled by default and support only (currently the preferred option for RW)   Option 3: HYPERLINK ""edient:Command=ShowEditForm&ControllerID=WorkItem&BusinessEntityPK=7d00f749-5906-4258-9b59-92ab74f65ea4&VersionNumber=24.11.13.50&Domain=wtg.zone&Instance=ediProd&Hash=%2bJorkS8CYLGl32TfpesdysfPMxIeE1lhz"" WI00809870 - CPW: ComplianceWise enabled by default on Forwarding modules (Was implemented for a while then rolled back)  Once confirmed which option we will go with, one of these work items will be cancelled and the preferred option will be checked in.     Product Changes  ComplianceWise (Master UPN) - https://wisetechacademy.com/search?quickstart=499d436e-b256-45e7-8f73-35fd2396c30a - Update   HYPERLINK ""edient:Command=ShowEditForm&ControllerID=WorkItem&BusinessEntityPK=35dd7974-da2b-466b-a551-ef973d323396&VersionNumber=24.10.17.96&Domain=wtg.zone&Instance=ediProd&Hash=%2b%2bdU80P5EBLN3KEK4R%2bcKsKGnjmdVtMR3"" WI00778739 - ComplianceWise customer facing update note   Updates here: https://wisetechglobal.sharepoint.com/:w:/s/DevelopmentROPETeam/ETDRAru70KNGnlA-_gefPIkBtlSqkqsZdwdIdibl8oOoPA?e=gulbPt (Page 79)  How do I enable ComplianceWise and how do I get support if I experience problems? - https://wisetechacademy.com/search?quickstart=63ee12df-da3e-4d7a-acb9-38c45aedda1c - Remove  How-to Transition to ComplianceWise from Denied Party Screening for jobs - https://wisetechacademy.com/search?quickstart=a4602976-ce39-434f-9a8d-befe2cff16f9 - Update   HYPERLINK ""edient:Command=ShowEditForm&ControllerID=WorkItem&BusinessEntityPK=da16cb0a-d91f-4aa1-8a1b-5d6c836232f7&VersionNumber=24.10.17.96&Domain=wtg.zone&Instance=ediProd&Hash=%2bDLd2GSXl6Upyemt9dGDyqb62O%2f5rq%2f4x"" WI00790507 - CPW: Customer facing How to transition guide and FAQs   Updates here: https://wisetechglobal.sharepoint.com/:w:/s/DevelopmentROPETeam/EQ6Lr-NCYv9GmegPIhuRALYBtS69_l_VZ00-OXovuf8H7Q?e=cIddBJ  How do I transition from Denied Party Screening to ComplianceWise? (FAQ) - https://wisetechacademy.com/search?quickstart=e325646b-52ec-4d25-aef6-21366e8e16ea - Modify   Remove: ""Note:  Once ComplianceWise is enabled it cannot be disabled on a module""  [REMOVED] ComplianceWise enabled by default for Forwarding Bookings, Shipments and Consolidations - https://wisetechacademy.com/search?quickstart=77bc9f68-fa7a-41bf-802d-62ebcebe66fb - Already removed   Re-release new version: https://wisetechglobal.sharepoint.com/:w:/s/DevelopmentROPETeam/EZQ4Sn2EGQVGgy8iZB5CSIIBhlkvJ0CPklOBr1An7s2iAA?e=uc3tyf    OQU 17-Oct-24 15:19 GMT+08:00:     DONE STATEMENT:    ComplianceWise is enabled by default on all customer systems     We have removed the customer’s ability to disable ComplianceWise on their systems     WTG support can disable ComplianceWise on DHL, Geodis systems where we have a contract commitment to them     Customers who have already chosen to disable, we will enable it     BWD 13-Nov-24 11:18 GMT+11:00:   Update  Andrew C (CEO) has requested ComplianceWise to be enabled for all customers.    Targets to have CPW enabled by default:  CargoWise Next  27th Nov 2024, DPR  Becomes GP1 on 5th Feb 2025  CargoWise One (tbc...)  Patchback to current STD v24.10.30  Becomes GP1 on 11th December 2024",major,New or updated regulatory framework,CPW,ComplianceWise,ComplianceWise enabled by default and support only,
WI00862744,CLS,EG e-Invoice - Add Bank Account Details to AR e-Invoice Submission XML,31-01-2025 9:54,Publish,CLS,23-10-2025,Publish Update Note,DEP,62.5,"A25 31-Jan-25 12:56 GMT+03:00:     This WI is created based on the eRequest from customer which is set as feature request - HYPERLINK ""edient:Command=ShowEditForm&ControllerID=SupportIncident&BusinessEntityPK=53047a4f-c3ed-4644-93ca-daa0d0e9890c&VersionNumber=25.1.31.76&Domain=wtg.zone&Instance=ediProd&Hash=%2bWuUlA8i3irnqYiQ1XXORkOhE8H09mO4n"" CS01833300 - MTSLOGALY - Payment details in e invoice    As understand, customer is asking to add their bank account details into the invoice.    Based on our investigation, bank account details can be included in the e-Invoice XML for both Invoices and Credit Notes by using  the Payment structure in the DocumentSubmissions API method    Invoice Data Structure : https://sdk.preprod.invoicing.eta.gov.eg/documents/invoice-v1-0/    Credit Note Data Structure : https://sdk.preprod.invoicing.eta.gov.eg/documents/credit-note-v1-0/    Payment structure : https://sdk.preprod.invoicing.eta.gov.eg/documents/invoice-v1-0/#payment    In the payment structure, bankName, bankAddress, bankAccountNo, bankAccountIBAN, swiftCode, terms details can be send. All of them are optional.    Based on the documentation, it seems that the Payment structure is not an array. So, seems we can only send one bank account detail.    Element Type  Description Value example  bankName  String  Optional: Name of the bank of document issuer. Alpha Bank  bankAddress  String  Optional: Address of the bank of document issuer. Captured as single line of text, not a structure.    bankAccountNo String  Optional: Local bank account number in the bank 12-1982939  bankAccountIBAN String  Optional: International bank account number used primarily for international documents.    swiftCode  String  Optional: International Swift code of the bank.    terms   String  Optional: Description of the payment terms describing when and how payments needs to be made, for example.    Our XUT does not contain any information for the bank account details, however since the mapping of the EG e-Invoice is done on the CW side, I belileve we should not face any problem.    DOF;     Figure out how and where to obtain the bank account details.    Add Payment structure to the submission XML. The order in which Payment structure should place in the whole data structure may be important. Therefore it should be added to the structure in the appropriate place.    Options for obtaining bank account;    1- One way to obtain the bank account can be a similar approach that is used by China. https://wisetechacademy.com/search?quickstart=b850544e-f05f-471d-8904-8fcb589f491f    This way, we can obtain the bank account based on the transaction header branch’s proxy. Since, Payment structure allows to send only bank account, we can get the Default bank account where the country is EG and currency is EGP.    2- We can consider the options described in the following UPN for Germany. The same hierarchy can be used to get the bank account.    https://wisetechacademy.com/search?quickstart=771e9b6d-6405-4f9f-a3f2-aa5250a510e3    ",major,New or updated regulatory framework,,,EG e,Invoice - Add Bank Account Details to AR e-Invoice Submission XML
WI00904060,CLS,Total Allocation Statistics Section UI Enhancements,02-05-2025 3:28,Publish,CLS,22-08-2025,Publish Update Note,DEP,4.233333333,"Done Statement  The Total Allocation Section of showing the quantitative measures/statistics of the Allocation Routes under a Carrier Contract to be enhanced to support:  Contract using only TEU as the Unit of all Allocation Routes.  Contract using only CN as the Unit of all Allocation Routes.  Contract using a mix of TEU or CN as the Unit of individual Allocation Routes.    SRH 28-May-25 17:59 GMT+12:00:   Comments by Rohlig per the question of apart from TEU, will 'CN - Containers' would be used as a unit for a Carrier Contract and would a single Contract would have mixed Units of TEU or CN under different Allocation.  Majority would be using TEU as the Unit but they may also have Contracts using 'CN' as the Unit that Rohlig needs to further clarify before getting back to us.    ELP 25-Jun-25 18:51:  Latest wireframes for Total Allocation panel in CCA: https://www.figma.com/design/ML8B5lyFugTSv6hddg8k42/C-A-Drafts?node-id=7528-529777&t=cCkvQDenJCKsJ7ZH-1        Tien Long Lam (TLM) 22-Jul-25 10:12 GMT+10:00:  https://devops.wisetechglobal.com/wtg/Shared/_wiki/wikis/Forwarding%20Work%20Item%20Wiki/18968/WI00904060-Total-Allocation-Statistics-Section-UI-Enhancements  ",minor,Minor tweak to existing behaviour,,,Total Allocation Statistics Section UI Enhancements,
WI00817855,CLS,Colombia - New IVA Withholding RETEIVA General Rate,16-10-2024 17:42,Publish,CLS,14-02-2025,Publish Update Note,DEP,11.8,"Country COLOMBIA  Sub Project HYPERLINK ""edient:Command=ShowEditForm&LicenceCode=EDIAG0SYD&ControllerID=Project&BusinessEntityPK=8a359331-1de8-4cf3-9d8c-b4b307f53461&Domain=wtg.zone&Instance=ediProd&Hash=%2bP2SRixGxJ8TkxP97S0n9r8Y%2baGu7dGb1"" Project PRJ00037091  Head Project HYPERLINK ""edient:Command=ShowEditForm&LicenceCode=EDIAUSSYD&ControllerID=Project&BusinessEntityPK=5da8f849-6392-428a-bf02-6fa35d2a52be&Domain=wtg.zone&Instance=ediProd&Hash=%2ba6icvzlBehIlslRQuYs2zRHPSY5jcmNz"" Project PRJ00029620  Topic Importance Comments  In Colombia Country there is a IVA Withholding Tax that our Users have requested to add in CargoWise.  Add a new RETEIVA Tax ID for Colombia Country that supports IVA and IVA Withholding Genral rate calculation.  Moreover, add a new rate reference to source the rate for the withholding.  Standard Colombia IVA Rate is 19% and reduced IVA rate is 5%.  The IVA Withholding general rate is 15%.  IVA Withholding calculation base is the IVA amount.  This is an invoice based Withholding calculation (included inside the invoice by the issuer).  Therefore, Users need to be able to easily distinguish Withholding amount when posting an AR transaction and also be able to extract this information from AR transaction XUT when needed.  Scope:   HLD (High Level Design) Done Statements:  When the Specification is completed, the following statements will be true:  Two new RETEIVA Tax IDs are available for Colombia Country.  CargoWise supports IVA Withholding Genral rate calculation for Colombia Login companies.  Withholding amount is easily distinguish in the invoice form  Withholding amount appears in XUT.  Other notes:  Find below some Incidents where CargoWise Customers request to add Withholding Taxesin CargoWise:  HYPERLINK ""edient:Command=ShowEditForm&ControllerID=SupportIncident&BusinessEntityPK=c0ea518b-2167-4d9e-82cc-df15a1ee016b&Domain=wtg.zone&Instance=ediProd&Hash=%2b8As96ajqQ%2bJDlmyn7EBf8XHwkOGU6Iar"" CS00675940 - KEYLOGBOG1 - COLOMBIA - Withholding Tax  HYPERLINK ""edient:Command=ShowEditForm&ControllerID=SupportIncident&BusinessEntityPK=be0287f5-2f83-44d5-ae85-d6124ccb9b1d&Domain=wtg.zone&Instance=ediProd&Hash=%2bSEVpuVgDtUIsDXc1mLTXYhtNv3SEg8QT"" CS00239355 - GEOWILBOG - GW COLOMBIA - Compliance requirements document- URGENT  HYPERLINK ""edient:Command=ShowEditForm&ControllerID=SupportIncident&BusinessEntityPK=3bd41e3d-682f-4cfb-b598-60c5fcfb4c72&Domain=wtg.zone&Instance=ediProd&Hash=%2bHEXQ6rpK5CYm6iEhbaZEWTa5%2fasnzlI7"" CS01153365 - TRATECYMQ - Colombia Withholding tax    ",,,,,Colombia,New IVA Withholding RETEIVA General Rate
WI00947734,CLS,EU ICS2 - R3 - F40/F41 Conformance test and UPN,07-08-2025 7:21,Publish,CLS,04-09-2025,Publish Update Note,DEP,NULL,"CFX 07-Aug-25 09:20 GMT+02:00:     Done Statement:  The conformance test for the F40 and F41 is completed successfully and confirmed by Service Desk Customs.    Update Notes:    F40: HYPERLINK ""https://wisetechglobal.sharepoint.com/:w:/s/DevelopmentCustomsTeam/EYUsHXI17XZDqZfDIzwc4T8BEnd7b5dZ_p1qBBF0Oy7w4A?e=apXrQk"" UPN - New Carrier Message F40 for Transport Mode Road.docx    F41: HYPERLINK ""https://wisetechglobal.sharepoint.com/:w:/s/DevelopmentCustomsTeam/ETyGyu-5wgxGoGfGOVvv4VMB56mpx9FRl__uQStRv1D7Sg?e=9z7SlC"" UPN - New Carrier Message F41 for Transport Mode Rail.docx  ",major,New or updated regulatory framework,,,EU ICS2,R3 - F40/F41 Conformance test and UPN
WI00887209,CLS,Turn off Audit Events for Declaration tables,24-03-2025 4:47,Publish,CLS,12-09-2025,Publish Update Note,DEP,51.16666667,"JPG 24-Mar-25 15:42 GMT+11:00: The purpose of this WI is to turn off Audit Event logging (by default) for the main Declaration tables. See the following links for an overview of what we want to achieve:    https://wisetechglobal.sharepoint.com/:w:/s/ArchiveManager/EUUiOSoELGRNsSGhAzlT16kBowtezPrVVdNV3H4dxM3N9g?e=FWtKxN    Guide: https://devops.wisetechglobal.com/wtg/CargoWise/_wiki/wikis/CargoWise.wiki/13383/Turning-off-Audit-Events  Sample PR: https://devops.wisetechglobal.com/wtg/CargoWise/_git/Dev/pullrequest/291327    REQ001: Remove the IsAutoLogged override from the following classes (that is, turn off auto logging):    BaseJobDeclaration  BaseJobComInvoiceHeader  CusEntryPayInfo    LY 09-Apr-25 10:30 GMT+01:00: Remove relevant business objects from AuditEventTest baseline https://devops.wisetechglobal.com/wtg/CargoWise/_git/Dev?path=%2FEnterprise%2FProduct%2FCore%2FArchiveManager%2FArchiveManager%2FArchiveManager.Test%2FAuditEventTest.cs&version=GBmaster&line=107&lineEnd=108&lineStartColumn=1&lineEndColumn=1&lineStyle=plain&_a=contents    REQ002: Add the following tables to AutoLoggedTablesDefaultConfigValue (https://devops.wisetechglobal.com/wtg/CargoWise/_git/Dev?path=%2FEnterprise%2FProduct%2FOperations%2FWorkflow%2FWorkflow.Business%2FAuditStmALog%2FAutoLoggedTablesDefaultConfigValues.cs&version=GBmaster&_a=contents)    BaseJobDeclaration  BaseJobComInvoiceHeader    This enable 2 things:  When the registry is on for a particular table, then StmALog events will be created as if IsAutoLogged were turned on.  When the registry if off, then NonPersistedStmALog events will be create. These will allow workflow to work on EDT/ADD events, but it will not actually persist the events in StmALog (which is the real goal here).    (Do not add CusEntryPayInfo, because we do not support workflow against that table.)    --    The three tables should already be in the Audit DB and visible on the Declaration form:  HYPERLINK ""edient:Command=ShowEditForm&ControllerID=WorkItem&BusinessEntityPK=1e0c4ffb-8314-4b9f-85b2-333c8c27b748&VersionNumber=25.3.24.25&Domain=wtg.zone&Instance=ediProd&ServerName=ediprod.db.wtg.zone&DatabaseName=EDIPROD&Hash=%2bjQqGxygot%2bGXvkNui0RvVK9hMBdK6j9P"" WI00886436 - Enable Audit Data tab for all JobDeclaration Forms      TT7 03-Jul-25 09:57 GMT+10:00: IsAutoLogged has been updated. We just need to override its value to AutoLoggingState => AutologState.AutoLoggedToQueueOnly and Workflow will work as expected, no need to add the tables to AutoLoggedTablesDefaultConfigValue",minor,Logging or audit-only change,,,Turn off Audit Events for Declaration tables,
WI00829485,CLS,[CCA] Consol ETD should NOT check Allocation Route Period if Booking/MBL exist,12-11-2024 23:14,Publish,CLS,16-06-2025,Publish Update Note,DEP,66.51666667,"Done Statement  Once the Carrier Booking Number or Master Bill of Lading Number existed on the Consol, Consol's ETD should NOT be validated against the Start Date / Expiry Date of Allocation Route(s) utilised.    Both Rohlig and DHL have raised the same/similar request/scenario:    HYPERLINK ""edient:Command=ShowEditForm&LicenceCode=EDIAUSSYD&ControllerID=Project&BusinessEntityPK=d8368320-9922-44c9-b0b5-41061f310f3a&VersionNumber=25.3.7.316&Domain=wtg.zone&Instance=ediProd&ServerName=ediprod.db.wtg.zone&DatabaseName=EDIPROD&Hash=%2bs%2fgyGgpaGNctZwxgDD5VWpfpqwkLkeY%2f"" Project PRJ00049515 - HYPERLINK ""edient:Command=ShowStorageDoc&BusinessEntityPK=d8368320-9922-44c9-b0b5-41061f310f3a&StorageDocPK=ae9c573e-9199-4c22-860d-b5424b1e3ec9&Domain=wtg.zone&Instance=ediProd&ServerName=ediprod.db.wtg.zone&DatabaseName=EDIPROD&Hash=%2bvlLbzF7uTHwyt8ysWDBTh6wA1F39k0KT"" SRH 07-Mar-25 23:56:  File WTG DHL Workshop Summary - 24 to 26 Feb 2025[2] (WI Ref).docx (Memorandum of Understanding)    Context:  This work item is a Rohlig priority.    TLM 01-Apr-25 13:57 GMT+11:00:   HYPERLINK ""https://devops.wisetechglobal.com/wtg/Shared/_wiki/wikis/Forwarding%20Work%20Item%20Wiki/15017/WI00829485-CCA-Consol-ETD-should-NOT-check-Allocation-Route-Period-if-Booking-or-MBL-Existed"" WI00829485 - [CCA] Consol ETD should NOT check Allocation Route Period if Booking or MBL Existed - Overview    No expiry date validation errors occur on a Consol once it is attached to an Allocation Route.    TLM 12-Dec-24 10:17 GMT+11:00:   https://devops.wisetechglobal.com/wtg/Shared/_wiki/wikis/Forwarding%20Work%20Item%20Wiki/15017/WI00829485-CCA-Remove-the-expiry-date-validation-on-a-consol-if-it's-attached-to-a-route    # Done Statement  No expiry date validation errors occur on a Consol once it is attached to an Allocation Route.  # Context  Despite agreeing on a fixed allocation per period e.g. 10 TEU / week. Reality does not work that way necessarily. Vessels get delayed.   # Description  Validation of ETD should happen only when initially attempting to link a Consolidation to a specific Allocation Route ID, where the ETD should be validated against the Start & Expiry date.     Once the link has been established, there should not be any further checks. Even in the cases   - the ETD gets **beyond the Expiry date** of the Allocation Route    - the ETD gets **before the Start Date** of the Allocation Route   ",,,,,[CCA] Consol ETD should NOT check Allocation Route Period if Booking/MBL exist,
WI00871784,CLS,IT (NCTD5 TP OFF) Registration date for amendment without declaration,19-02-2025 14:53,Publish,CLS,21-07-2025,Publish Update Note,DEP,17.58333333,"DONE STATEMENT  When user must amend a declaration done in another system he sets a declaration without MRN as amendment.  In this operation user is required to enter the MRN of the original declaration to amend.  We must request the user also the registration date of the original declaration, so that we can determine if the declaration must be managed as TP ON or TP OFF.  We must verify that after having entered MRN and registration date the declaration is automatically set as TP ON if needed.    Refer to HYPERLINK ""edient:Command=ShowEditForm&ControllerID=WorkItem&BusinessEntityPK=69fa951a-8931-48aa-a557-9b28502c767d&VersionNumber=25.2.19.11&Domain=wtg.zone&Instance=ediProd&Hash=%2b%2bsVzI%2fe25Mz22k3AzEYUw%2bXNz9OX63Ap"" WI00862760 - IT (NCTD5 TP OFF) Amendments for TP ON    CRI 05-Mar-25 17:42 GMT+01:00: SPE https://wisetechglobal.sharepoint.com/:w:/r/sites/DevelopmentCustomsTeam/Shared%20Documents/IT/Work%20Items/NCTD5/WI00871784%20-%20IT%20(NCTD5%20TP%20OFF)%20Registration%20date%20for%20amendment%20without%20declaration/WI00871784%20-%20IT%20(NCTD5%20TP%20OFF)%20Registration%20date%20for%20amendment%20without%20declarati.docx?d=wfe676e4fb30f461b9027c4f2032b8628&csf=1&web=1&e=vRbU1V",,,,,IT (NCTD5 TP OFF) Registration date for amendment without declaration,
WI00892617,CLS,"MEXICO - New TAX ID to calculate 8% VAT (IVA) AND ""2/3"" IVA withholding (5.33%)",03-04-2025 16:01,Publish,CLS,02-06-2025,Publish Update Note,DEP,33.88333333,"Country MÉXICO  Sub Project HYPERLINK ""edient:Command=ShowEditForm&LicenceCode=EDIAG0SYD&ControllerID=Project&BusinessEntityPK=f4633ef2-cb93-44a4-906b-cb9e51a305d5&Domain=wtg.zone&Instance=ediProd&Hash=%2bpUlhJPovuu6xcRwpGBIfyHkgxx4cQoU5"" Project PRJ00029637  Head Project HYPERLINK ""edient:Command=ShowEditForm&LicenceCode=EDIAUSSYD&ControllerID=Project&BusinessEntityPK=5da8f849-6392-428a-bf02-6fa35d2a52be&Domain=wtg.zone&Instance=ediProd&Hash=%2ba6icvzlBehIlslRQuYs2zRHPSY5jcmNz"" Project PRJ00029620  Topic Importance Comments   New MX TAX ID (8% VAT and 5.33% of VAT Withholding     Scope:   HLD (High Level Design) Done Statements:  - We need to introduce a new VAT Withholding Tax ID for Mexico (MX).  - Mexico have a VAT Withholding rate for certain classes of transactions (i.e. Suppliers who are natural persons providing personal services 'Leases/Rentals' to a legal entity (our clients), located in a border area) that is two-thirds (5.33% of the 'Reduced' 8% VAT rate (Currently 8% for companies in border region).    Current Functionality:   *Standard VAT Rate in Mexico is 16%  *We currently support a Tax ID = IVAREF to calculate Standard VAT 16% and 10.66667% ('Extra Tax Rate') of VAT withholding (5.33% effective rate)  *Reduce 'Fronteriza' rate in Mexico is 8%  *We currently support a Tax ID = IVAREDRET to calculate Reduce VAT 8% and 4% ('Extra Tax Rate') of VAT withholding and Tax ID = IVAREDREB to calculate Reduce VAT 8% and 3% ('Extra Tax Rate')       Other notes:  Reference incident requesting new TAX ID and legal basis:   http://www.diputados.gob.mx/LeyesBiblio/regley/Reg_LIVA_250914.pdf  HYPERLINK ""edient:Command=ShowEditForm&ControllerID=SupportIncident&BusinessEntityPK=8a6bb0a2-d659-464f-803b-59f42491e76f&VersionNumber=25.4.2.29&Domain=wtg.zone&Instance=ediProd&ServerName=ediprod.db.wtg.zone&DatabaseName=EDIPROD&Hash=%2bo8n5mxjcKtXKWHXmw6ERxevdtAx28%2b3L"" CS01917113 - NOAMARADT - Missing Border tax with 60% retention    ",major,Tax/VAT or compliance regime change,,,MEXICO,"New TAX ID to calculate 8% VAT (IVA) AND ""2/3"" IVA withholding (5.33%)"
